label;English;English (Europe);German;Spanish;Spanish (US);French;French (US);Italian;Dutch;Chinese;Chinese (Traditional);Japanese;Korean;Russian
00143;cream chalet exterior;cream chalet exterior;Weiß-Fachwerkfassade;fachada chalé crema;fachada chalé crema;façade chaumière crème;façade chalet crème;esterno chalet crema;wit-geel vakwerk;白色框木框墙;白色木框牆;しろいきわくのかべ;하얀색 나이테 외벽;кремовый фасад шале
00144;black chalet exterior;black chalet exterior;Schwarz-Fachwerkfassade;fachada chalé negra;fachada chalé negra;façade chaumière noire;façade chalet noire;esterno chalet nero;wit-zwart vakwerk;黑色木框墙;黑色木框牆;くろいきわくのかべ;검은색 나이테 외벽;черный фасад шале
00145;chic cobblestone exterior;chic cobblestone exterior;Schick-Granitfassade;fachada adoquines chic;fachada adoquines chic;façade à pierres chic;façade à pierres chic;esterno in pietra chic;zwart-wit metselwerk;雅致石墙;典雅石牆;シックないしのかべ;시크한 돌 외벽;стильн. каменный фасад
00146;brown cobblestone exterior;brown cobblestone exterior;Braun-Granitfassade;fachada adoquines marrón;fachada adoquines marrón;façade à pierres brune;façade à pierres beige;esterno in pietra marrone;bruin-beige metselwerk;茶色石墙;茶色石牆;ちゃいろいいしのかべ;갈색 돌 외벽;коричн. каменный фасад
00147;red cobblestone exterior;red cobblestone exterior;Rot-Granitfassade;fachada adoquines roja;fachada adoquines roja;façade à pierres rouge;façade à pierres rouge;esterno in pietra rosso;zwart-rood metselwerk;红色石墙;紅色石牆;あかいいしのかべ;빨간색 돌 외벽;красн. каменный фасад
00148;orange cobblestone exterior;orange cobblestone exterior;Orange-Granitfassade;fachada adoquines naranja;fachada adoquines naranja;façade à pierres orange;façade à pierres orange;esterno in pietra arancione;wit-oranje metselwerk;橘色石墙;橘色石牆;オレンジいろのいしのかべ;오렌지색 돌 외벽;оранж. каменный фасад
00149;blue cobblestone exterior;blue cobblestone exterior;Blau-Granitfassade;fachada adoquines azul;fachada adoquines azul;façade à pierres bleue;façade à pierres bleue;esterno in pietra blu;blauw metselwerk;蓝色石墙;藍色石牆;あおいいしのかべ;파란색 돌 외벽;синий каменный фасад
00150;green cobblestone exterior;green cobblestone exterior;Grün-Granitfassade;fachada adoquines verde;fachada adoquines verde;façade à pierres verte;façade à pierres verte;esterno in pietra verde;zwart-groen metselwerk;绿色石墙;綠色石牆;みどりのいしのかべ;초록색 돌 외벽;зелен. каменный фасад
00151;gray cobblestone exterior;gray cobblestone exterior;Grau-Granitfassade;fachada adoquines gris;fachada adoquines gris;façade à pierres grise;façade à pierres grise;esterno in pietra grigio;grijs metselwerk;灰色石墙;灰色石牆;グレーのいしのかべ;회색 돌 외벽;серый каменный фасад
00152;beige stucco exterior;beige stucco exterior;Beige-Lehmfassade;fachada estuco beis;fachada estuco beige;façade en stuc beige;façade en stuc beige;esterno di stucco beige;beige pleisterwerk;米色灰泥墙;米色灰泥牆;ベージュのしっくいぬりのかべ;베이지색 석회 외벽;фасад с бежев. отделкой
00153;gray stucco exterior;gray stucco exterior;Grau-Lehmfassade;fachada estuco gris;fachada estuco gris;façade en stuc gris;façade en stuc bleu pâle;esterno di stucco grigio;grijs pleisterwerk;灰色灰泥墙;灰色灰泥牆;グレーなしっくいぬりのかべ;회색 석회 외벽;фасад с серой отделкой
00154;red stucco exterior;red stucco exterior;Rot-Lehmfassade;fachada estuco roja;fachada estuco roja;façade en stuc rouge;façade en stuc rouge;esterno di stucco rosso;rood pleisterwerk;红色灰泥墙;紅色灰泥牆;あかいしっくいぬりのかべ;빨간색 석회 외벽;фасад с красн. отделкой
00155;blue stucco exterior;blue stucco exterior;Blau-Lehmfassade;fachada estuco azul;fachada estuco azul;façade en stuc bleu;façade en stuc bleu;esterno di stucco blu;blauw pleisterwerk;蓝色灰泥墙;藍色灰泥牆;あおいしっくいぬりのかべ;파란색 석회 외벽;фасад с синей отделкой
00156;yellow stucco exterior;yellow stucco exterior;Gelb-Lehmfassade;fachada estuco ocre;fachada estuco ocre;façade en stuc jaune;façade en stuc jaune;esterno di stucco giallo;geel pleisterwerk;黄色灰泥墙;黃色灰泥牆;きいろいしっくいぬりのかべ;노란색 석회 외벽;фасад с желтой отделкой
00157;pink stucco exterior;pink stucco exterior;Rosa-Lehmfassade;fachada estuco rosa;fachada estuco rosa;façade en stuc rose;façade en stuc rose;esterno di stucco rosa;roze pleisterwerk;粉红色灰泥墙;粉紅色灰泥牆;ピンクなしっくいぬりのかべ;핑크색 석회 외벽;фасад с розов. отделкой
00158;black stucco exterior;black stucco exterior;Schwarz-Lehmfassade;fachada estuco negra;fachada estuco negra;façade en stuc noir;façade en stuc noir;esterno di stucco nero;zwart pleisterwerk;黑色灰泥墙;黑色灰泥牆;くろいしっくいぬりのかべ;검은색 석회 외벽;фасад с черной отделкой
00159;gray-trim common exterior;gray-trim common exterior;Standardfassade mit Grau;fachada clásica gris;fachada clásica gris;façade à poutres grises;façade à poutres grises;esterno comune grigio;grijs-wit simpel vakwerk;灰色常见墙;灰色常見牆;グレーなよくあるかべ;회색 평범한 외벽;фасад с серым кантом
00160;yellow common exterior;yellow common exterior;Gelb-Standardfassade;fachada clásica ocre;fachada clásica ocre;façade ordinaire jaune;façade jaune à poutres;esterno comune giallo;zwart-geel simpel vakwerk;黄色常见墙;黃色常見牆;きいろいよくあるかべ;노란색 평범한 외벽;простой желтый фасад
00161;pink common exterior;pink common exterior;Rosa-Standardfassade;fachada clásica rosa;fachada clásica rosa;façade ordinaire rose;façade rose à poutres;esterno comune rosa;wit-roze simpel vakwerk;粉红色常见墙;粉紅色常見牆;ピンクのよくあるかべ;핑크색 평범한 외벽;простой розовый фасад
00162;red common exterior;red common exterior;Rot-Standardfassade;fachada clásica carmesí;fachada clásica carmesí;façade ordinaire rouge;façade rouge à poutres;esterno comune cremisi;bruin-rood simpel vakwerk;红色常见墙;紅色常見牆;あかいよくあるかべ;빨간색 평범한 외벽;простой красный фасад
00163;black common exterior;black common exterior;Schwarz-Standardfassade;fachada clásica negra;fachada clásica negra;façade ordinaire noire;façade noire à poutres;esterno comune nero;wit-zwart simpel vakwerk;黑色常见墙;黑色常見牆;くろいよくあるかべ;검은색 평범한 외벽;простой черный фасад
