label;English;English (Europe);German;Spanish;Spanish (US);French;French (US);Italian;Dutch;Chinese;Chinese (Traditional);Japanese;Korean;Russian
00130;blue tile roof;blue tile roof;Blau-Ziegeldach;tejado pizarra azul;tejado pizarra azul;toit en tuiles bleues;toit en tuiles bleues;tetto di tegole blu;blauw pannendak;蓝色瓦屋顶;藍色瓦片屋頂;あおいかわらやね;파란색 기와지붕;синяя черепичн. крыша
00131;purple tile roof;purple tile roof;Lila-Ziegeldach;tejado pizarra lila;tejado pizarra morado;toit en tuiles violettes;toit en tuiles mauves;tetto di tegole indaco;paars pannendak;紫色瓦屋顶;紫色瓦片屋頂;むらさきのかわらやね;보라색 기와지붕;фиолет. черепичн. крыша
00132;black tile roof;black tile roof;Schwarz-Ziegeldach;tejado pizarra negro;tejado pizarra negro;toit en tuiles noires;toit en tuiles noires;tetto di tegole nere;zwart pannendak;黑色瓦屋顶;黑色瓦片屋頂;くろいかわらやね;검은색 기와지붕;черная черепичн. крыша
00133;pink tile roof;pink tile roof;Rosa-Ziegeldach;tejado pizarra rosa;tejado pizarra rosa;toit en tuiles roses;toit en tuiles roses;tetto di tegole rosa;roze pannendak;粉红色瓦屋顶;粉紅色瓦片屋頂;ピンクのかわらやね;핑크색 기와지붕;розовая черепичн. крыша
00134;yellow tile roof;yellow tile roof;Gelb-Ziegeldach;tejado pizarra ocre;tejado pizarra ocre;toit en tuiles jaunes;toit en tuiles jaunes;tetto di tegole gialle;geel pannendak;黄色瓦屋顶;黃色瓦片屋頂;きいろいかわらやね;노란색 기와지붕;желтая черепичн. крыша
00135;green tile roof;green tile roof;Grün-Ziegeldach;tejado pizarra verde;tejado pizarra verde;toit en tuiles vertes;toit en tuiles vertes;tetto di tegole verdi;groen pannendak;绿色瓦屋顶;綠色瓦片屋頂;みどりのかわらやね;초록색 기와지붕;зеленая черепичн. крыша
00136;aqua tile roof;aqua tile roof;Hellblau-Ziegeldach;tejado pizarra celeste;tejado pizarra celeste;toit en tuiles turquoise;toit en tuiles bleu ciel;tetto di tegole turchesi;lichtblauw pannendak;水蓝色瓦屋顶;水藍色瓦片屋頂;みずいろのかわらやね;하늘색 기와지붕;аквамар. черепичн. крыша
00137;blue tile roof;blue tile roof;Blau-Ziegeldach;tejado pizarra azul;tejado pizarra azul;toit en tuiles bleues;toit en tuiles bleues;tetto di tegole blu;blauw pannendak;蓝色瓦屋顶;藍色瓦片屋頂;あおいかわらやね;파란색 기와지붕;синяя черепичн. крыша
00138;purple tile roof;purple tile roof;Lila-Ziegeldach;tejado pizarra lila;tejado pizarra morado;toit en tuiles violettes;toit en tuiles mauves;tetto di tegole indaco;paars pannendak;紫色瓦屋顶;紫色瓦片屋頂;むらさきのかわらやね;보라색 기와지붕;фиолет. черепичн. крыша
00139;black tile roof;black tile roof;Schwarz-Ziegeldach;tejado pizarra negro;tejado pizarra negro;toit en tuiles noires;toit en tuiles noires;tetto di tegole nere;zwart pannendak;黑色瓦屋顶;黑色瓦片屋頂;くろいかわらやね;검은색 기와지붕;черная черепичн. крыша
00147;yellow tile roof;yellow tile roof;Gelb-Ziegeldach;tejado pizarra ocre;tejado pizarra ocre;toit en tuiles jaunes;toit en tuiles jaunes;tetto di tegole gialle;geel pannendak;黄色瓦屋顶;黃色瓦片屋頂;きいろいかわらやね;노란색 기와지붕;желтая черепичн. крыша
00148;green tile roof;green tile roof;Grün-Ziegeldach;tejado pizarra verde;tejado pizarra verde;toit en tuiles vertes;toit en tuiles vertes;tetto di tegole verdi;groen pannendak;绿色瓦屋顶;綠色瓦片屋頂;みどりのかわらやね;초록색 기와지붕;зеленая черепичн. крыша
00149;aqua tile roof;aqua tile roof;Hellblau-Ziegeldach;tejado pizarra celeste;tejado pizarra celeste;toit en tuiles turquoise;toit en tuiles bleu ciel;tetto di tegole turchesi;lichtblauw pannendak;水蓝色瓦屋顶;水藍色瓦片屋頂;みずいろのかわらやね;하늘색 기와지붕;аквамар. черепичн. крыша
00150;blue tile roof;blue tile roof;Blau-Ziegeldach;tejado pizarra azul;tejado pizarra azul;toit en tuiles bleues;toit en tuiles bleues;tetto di tegole blu;blauw pannendak;蓝色瓦屋顶;藍色瓦片屋頂;あおいかわらやね;파란색 기와지붕;синяя черепичн. крыша
00151;purple tile roof;purple tile roof;Lila-Ziegeldach;tejado pizarra lila;tejado pizarra morado;toit en tuiles violettes;toit en tuiles mauves;tetto di tegole indaco;paars pannendak;紫色瓦屋顶;紫色瓦片屋頂;むらさきのかわらやね;보라색 기와지붕;фиолет. черепичн. крыша
00152;black tile roof;black tile roof;Schwarz-Ziegeldach;tejado pizarra negro;tejado pizarra negro;toit en tuiles noires;toit en tuiles noires;tetto di tegole nere;zwart pannendak;黑色瓦屋顶;黑色瓦片屋頂;くろいかわらやね;검은색 기와지붕;черная черепичн. крыша
00153;beige stone roof;beige stone roof;Beige-Steindach;tejado piedra beis;tejado piedra beige;toit en pierre beige;toit en pierre beige;tetto di pietra beige;beige stenen dak;米色石屋顶;米色石屋頂;ベージュのいしのやね;베이지색 돌 지붕;бежевая каменная крыша
00154;orange stone roof;orange stone roof;Orange-Steindach;tejado piedra naranja;tejado piedra naranja;toit en pierre orange;toit en pierre orange;tetto di pietra arancione;oranje stenen dak;橘色石屋顶;橘色石屋頂;オレンジのいしのやね;오렌지색 돌 지붕;оранжевая камен. крыша
00155;red stone roof;red stone roof;Rot-Steindach;tejado piedra rojo;tejado piedra rojo;toit en pierre rouge;toit en pierre rouge;tetto di pietra rossa;rood stenen dak;红色石屋顶;紅色石屋頂;あかいいしのやね;빨간색 돌 지붕;красная каменная крыша
00156;blue stone roof;blue stone roof;Blau-Steindach;tejado piedra azul;tejado piedra azul;toit en pierre bleue;toit en pierre bleue;tetto di pietra blu;blauw stenen dak;蓝色石屋顶;藍色石屋頂;あおいいしのやね;파란색 돌 지붕;синяя каменная крыша
00157;green stone roof;green stone roof;Grün-Steindach;tejado piedra verde;tejado piedra verde;toit en pierre verte;toit en pierre verte;tetto di pietra verde;groen stenen dak;绿色石屋顶;綠色石屋頂;みどりのいしのやね;초록색 돌 지붕;зеленая каменная крыша
00158;brown stone roof;brown stone roof;Braun-Steindach;tejado piedra marrón;tejado piedra marrón;toit en pierre brune;toit en pierre brune;tetto di pietra marrone;bruin stenen dak;茶色石屋顶;茶色石屋頂;ちゃいろいいしのやね;갈색 돌 지붕;коричневая камен. крыша
00159;black stone roof;black stone roof;Schwarz-Steindach;tejado piedra negro;tejado piedra negro;toit en pierre noire;toit en pierre noire;tetto di pietra nera;zwart stenen dak;黑色石屋顶;黑色石屋頂;くろいいしのやね;검은색 돌 지붕;черная каменная крыша
00160;pink curved shingles;pink curved shingles;Rosa-Rundziegeldach;tejado teja rosa;tejado teja rosa;toit en tuiles canal roses;toit en tuiles canal roses;tetto di coppi rosa;roze dakspanen;粉红色洋瓦屋顶;粉紅色洋瓦屋頂;ピンクなようがわらのやね;핑크색 서양식 기와지붕;кругл. розовая черепица
00161;yellow curved shingles;yellow curved shingles;Gelb-Rundziegeldach;tejado teja ocre;tejado teja ocre;toit en tuiles canal jaunes;toit en tuiles canal jaunes;tetto di coppi gialli;gele dakspanen;黄色洋瓦屋顶;黃色洋瓦屋頂;きいろいようがわらのやね;노란색 서양식 기와지붕;кругл. желтая черепица
00162;green curved shingles;green curved shingles;Grün-Rundziegeldach;tejado teja verde;tejado teja verde;toit en tuiles canal vertes;toit en tuiles canal vertes;tetto di coppi verdi;groene dakspanen;绿色洋瓦屋顶;綠色洋瓦屋頂;みどりのようがわらのやね;초록색 서양식 기와지붕;кругл. зеленая черепица
00163;blue curved shingles;blue curved shingles;Blau-Rundziegeldach;tejado teja azul;tejado teja azul;toit en tuiles canal bleues;toit en tuiles canal bleues;tetto di coppi blu;blauwe dakspanen;蓝色洋瓦屋顶;藍色洋瓦屋頂;あおいようがわらのやね;파란색 서양식 기와지붕;кругл. синяя черепица
00164;beige curved shingles;beige curved shingles;Beige-Rundziegeldach;tejado teja beis;tejado teja beige;toit en tuiles canal beiges;toit en tuiles canal beiges;tetto di coppi beige;beige dakspanen;米色洋瓦屋顶;米色洋瓦屋頂;ベージュのようがわらのやね;베이지색 서양식 기와지붕;кругл. бежевая черепица
00165;brown curved shingles;brown curved shingles;Braun-Rundziegeldach;tejado teja marrón;tejado teja marrón;toit en tuiles canal brunes;toit en tuiles canal brunes;tetto di coppi marroni;bruine dakspanen;茶色洋瓦屋顶;茶色洋瓦屋頂;ちゃいろいようがわらのやね;갈색 서양식 기와지붕;кругл. коричнев. черепица
00166;black curved shingles;black curved shingles;Schwarz-Rundziegeldach;tejado teja negro;tejado teja negro;toit en tuiles canal noires;toit en tuiles canal noires;tetto di coppi neri;zwarte dakspanen;黑色洋瓦屋顶;黑色洋瓦屋頂;くろいようがわらのやね;검은색 서양식 기와지붕;кругл. черная черепица
00167;white thatch roof;white thatch roof;Weiß-Reetdach;tejado paja blanco;tejado paja blanco;toit de chaume blanc;toit de chaume blanc;tetto di paglia bianca;wit rieten dak;白色茅草屋顶;白色茅草屋頂;しろいかやぶきやね;하얀색 초가지붕;белая соломенная крыша
00168;deep-green thatch roof;deep-green thatch roof;Dunkelgrün-Reetdach;tejado paja verde oscuro;tejado paja verde oscuro;toit de chaume vert sombre;toit de chaume vert sombre;tetto di paglia verde scuro;donkergroen rieten dak;深绿色茅草屋顶;深綠色茅草屋頂;ふかみどりのかやぶきやね;진녹색 초가지붕;зеленая соломен. крыша
00169;black thatch roof;black thatch roof;Schwarz-Reetdach;tejado paja negro;tejado paja negro;toit de chaume noir;toit de chaume noir;tetto di paglia nera;zwart rieten dak;黑色茅草屋顶;黑色茅草屋頂;くろいかやぶきやね;검은색 초가지붕;черная соломен. крыша
