label;English;English (Europe);German;Spanish;Spanish (US);French;French (US);Italian;Dutch;Chinese;Chinese (Traditional);Japanese;Korean;Russian
FathersDay;Father's Day;Father's Day;Vatertag;Día del Padre;Día del Padre;Fête des pères;Fête des Pères;Festa del papà;Vaderdag;父亲节;世界父親節;父の日;아버지날;День отца
FathersDay2;Father's Day;Father's Day;Vatertag;Día del Padre;Día del Padre;Fête des pères;Fête des Pères;Festa del papà;Vaderdag;父亲节;世界父親節;父の日;아버지날;День отца
WorldChild;International Children's Day;International Children's Day;Weltweiter Tag der Kinder;Día de la Infancia;Día de la Infancia;Jour mondial des enfants;Jour mondial des enfants;Giorno mondiale dei bambini;Internationale Kinderdag;国际儿童节;國際兒童節;国際こどもの日;국제 어린이날;Всемирный день детей
SummerSolstice;Summer Solstice;Summer Solstice;Mittsommer;Solsticio de verano;Solsticio de verano;Solstice d'été;Solstice d'été;Solstizio d'estate;Midzomer;夏至;夏至;夏至;하지;Летнее солнцестояние
SouthernMidwinter;Summer Solstice;Summer Solstice;Mittsommer;Solsticio de verano;Solsticio de verano;Solstice d'été;Solstice d'été;Solstizio d'estate;Midzomer;夏至;夏至;夏至;하지;Летнее солнцестояние
WinterSolstice;Winter Solstice;Winter Solstice;Mittwinter;Solsticio de invierno;Solsticio de invierno;Solstice d'hiver;Solstice d'hiver;Solstizio d'inverno;Midwinter;冬至;冬至;冬至;동지;Зимнее солнцестояние
Midwinter;Winter Solstice;Winter Solstice;Mittwinter;Solsticio de invierno;Solsticio de invierno;Solstice d'hiver;Solstice d'hiver;Solstizio d'inverno;Midwinter;冬至;冬至;冬至;동지;Зимнее солнцестояние
Tanabata;Tanabata;Tanabata;Tanabata;Tanabata;Tanabata;Tanabata;Tanabata;Tanabata;Tanabata;日本七夕;日本七夕;七夕;다나바타;Фестиваль звезд
GyurouSyokujyo;Cowherd & Weaver Girl Day;Cowherd & Weaver Girl Day;Kuhhirte-und-Weberin-Tag;El pastor y la tejedora;El pastor y la tejedora;Le bouvier et la tisserande;Le bouvier et la tisserande;Il pastore e la filatrice;Veehoeder-en-weefsterdag;七夕;七夕;牛郎織女の日;칠석;День пастуха и ткачихи
GrapeHarvestFestival;Grape Harvest Festival;Grape Harvest Festival;Traubenlese-Festival;La vendimia;La vendimia;Festival du raisin;Festival du raisin;Festival della vendemmia;Druivenoogstfestival;葡萄丰收节;葡萄豐收節;ブドウの収穫祭;포도 수확제;День сбора винограда
CowBoyFestival;Cowboy Festival;Cowboy Festival;Cowboy-Festival;Festival de los vaqueros;Festival de los vaqueros;Festival des cow-boys;Festival des cowboys;Festival cowboy;Cowboyfestival;牛仔节;牛仔節;カウボーイ祭り;카우보이 축제;Фестиваль ковбоев
MidAutumnFestival;Moon-Viewing Day;Moon-Viewing Day;Mondfest;Celebración de la Luna;Celebración de la Luna;Fête de la lune;Fête de la Lune;Festa della luna;Maanfeest;中秋节;中秋節;お月見;추석;День луны
Oomisoka;Ōmisoka;Ōmisoka;Ōmisoka;Ōmisoka;Ōmisoka;Ōmisoka;Ōmisoka;Ōmisoka;Ōmisoka;跨年夜;跨年夜;大晦日;오미소카;Омисока
NewYearsEveGermany;Silvester;Silvester;Silvester;Silvester;Silvester;Silvester;Silvester;Silvester;Silvester;New Year's Eve;New Year's Eve;New Year's Eve;질베스터;Сильвестр
NewYearsEveSpain;Nochevieja;Nochevieja;Nochevieja;Nochevieja;Nochevieja;Nochevieja;Nochevieja;Nochevieja;Nochevieja;New Year's Eve;New Year's Eve;New Year's Eve;노체 비에하;Ночевьеха
NewYearsEveWorld;New Year's Eve;New Year's Eve;Neujahrsabend;Fin de año;Fin de año;Réveillon du nouvel an;Réveillon du Nouvel An;Ultimo dell'anno;Oudejaarsavond;New Year's Eve;New Year's Eve;New Year's Eve;새해 전야;Канун Нового года
RegionNewYear;Shōgatsu;Shōgatsu;Shōgatsu;Shōgatsu;Shōgatsu;Shōgatsu;Shōgatsu;Shōgatsu;Shōgatsu;新年;新年;正月;새해;Сёгацу
RegionNewYear2;Shōgatsu;Shōgatsu;Shōgatsu;Shōgatsu;Shōgatsu;Shōgatsu;Shōgatsu;Shōgatsu;Shōgatsu;新年;新年;正月;새해;Сёгацу
RegionNewYear3;Shōgatsu;Shōgatsu;Shōgatsu;Shōgatsu;Shōgatsu;Shōgatsu;Shōgatsu;Shōgatsu;Shōgatsu;新年;新年;正月;새해;Сёгацу
RoshiaNewYear;New Year's Day;New Year's Day;Neujahr;Año Nuevo;Año Nuevo;Jour de l'an;Jour de l'An;Capodanno;Nieuwjaarsdag;New Year;New Year;New Year;새해;Новый год
WorldNewYear;New Year's Day;New Year's Day;Neujahr;Año Nuevo;Año Nuevo;Jour de l'an;Jour de l'An;Capodanno;Nieuwjaarsdag;New Year;New Year;New Year;새해;Новый год
KoreaNewYear;New Year's Day;New Year's Day;Neujahr;Año Nuevo;Año Nuevo;Jour de l'an;Jour de l'An;Capodanno;Nieuwjaarsdag;新年;新年;正月;새해;Новый год
ChinaNewYear;New Year's Day;New Year's Day;Neujahr;Año Nuevo;Año Nuevo;Jour de l'an;Jour de l'An;Capodanno;Nieuwjaarsdag;新年;新年;正月;새해;Новый год
RegionValentine;Valentine's Day;Valentine's Day;Valentinstag;Día de los Enamorados;Día de los Enamorados;Saint-Valentin;Saint-Valentin;San Valentino;Valentijnsdag;情人节;情人節;バレンタインデー;밸런타인 데이;День Валентина
Setsubun;Setsubun;Setsubun;Setsubun;Setsubun;Setsubun;Setsubun;Setsubun;Setsubun;Setsubun;节分;節分;節分;세츠분;Сэцубун
RegionLunarNewYearKR;Seollal;Seollal;Seollal;Seollal;Seollal;Seollal;Seollal;Seollal;Seollal;韩国新年;韓國新年;ソルラル;설날;Соллаль
RegionLunarNewYearAsia;Lunar New Year;Lunar New Year;Mondneujahr;Año Nuevo Lunar;Año Nuevo Lunar;Nouvel an lunaire;Nouvel An lunaire;Capodanno lunare;Maannieuwjaar;春节;春節;春節;춘절;Лунный Новый год
RegionBigGame;Big Game Celebration;Big Game Celebration;Football-Finale;Gran final deportiva;Gran final deportiva;Match au sommet;Soir de finale;Notte della grande partita;Americanfootballfeest;大比赛;Big Game;ビッグゲーム;빅 게임;Решающий матч
RegionBigGame2;Big Game Celebration;Big Game Celebration;Football-Finale;Gran final deportiva;Gran final deportiva;Match au sommet;Soir de finale;Notte della grande partita;Americanfootballfeest;大比赛;Big Game;ビッグゲーム;빅 게임;Решающий матч
GroundhogDay;Groundhog Day;Groundhog Day;Murmeltiertag;Día de la Marmota;Día de la Marmota;Jour de la marmotte;Jour de la marmotte;Dì della marmotta;Bosmarmottendag;土拨鼠日;土撥鼠日;グラウンドホッグデー;그라운드호그 데이;День сурка
RegionHinamatsuri;Hinamatsuri;Hinamatsuri;Hinamatsuri;Hinamatsuri;Hinamatsuri;Hinamatsuri;Hinamatsuri;Hinamatsuri;Hinamatsuri;女儿节;女兒節;ひなまつり;히나마츠리;Хинамацури
RegionPiDay;π Day;π Day;Pi-Tag;Día de π;Día de π;Jour de π;Jour de π;Giorno del Pi greco;π-dag;圆周率日;圓周率日;πデー;π 데이;День числа π
RegionShamrockDay;Shamrock Day;Shamrock Day;Kleeblatttag;Día del Trébol;Día del Trébol;Jour du trèfle;Jour du trèfle;Giorno del trifoglio;Klaverdag;三叶草日;三葉草日;シャムロックデー;성 패트릭 데이;День трилистника
RegionEarthDay;Nature Day;Nature Day;Tag der Natur;Día de la Naturaleza;Día de la Naturaleza;Jour de la nature;Jour de la nature;Giorno della natura;Natuurdag;地球日;地球日;アースデー;지구의 날;День природы
RegionAprilFool;April Fools' Day;April Fools' Day;1. April;Día de las Bromas;Día de las Bromas;1er avril;1 avril;Pesce d'aprile;1 april;愚人节;愚人節;エイプリルフール;만우절;День розыгрышей
RegionProm;Prom;Prom;Abschlussball;Baile de fin de curso;Baile de fin de curso;Bal de promo;Bal des finissants;Ballo scolastico;Galadag;毕业舞会;畢業舞會;プロム;프롬;Выпускной вечер
RegionProm2;Prom;Prom;Abschlussball;Baile de fin de curso;Baile de fin de curso;Bal de promo;Bal des finissants;Ballo scolastico;Galadag;毕业舞会;畢業舞會;プロム;프롬;Выпускной вечер
RegionTreeDay;Singmogil;Singmogil;Singmogil;Singmogil;Singmogil;Singmogil;Singmogil;Singmogil;Singmogil;植木日;植木日;植木の日;식목일;Сингмогил
RegionChildrensDay;Children's Day;Children's Day;Kodomo no Hi;Día del Niño;Día del Niño;Jour des enfants;Jour des enfants;Giorno dei bambini;Kodomo no Hi;日本儿童节;日本兒童節;こどもの日;단고노셋쿠;День ребенка
RegionCheeseFestival;Cheese Rolling;Cheese Rolling;Käserollen;Festival del queso rodante;Festival del queso rodante;Course au fromage;Course au fromage;Cheeserolling;Kaasrollen;滚奶酪节;滾起司節;チーズ転がし;치즈 굴리기;Сырная гонка
RegionDragonBoatFestival;Dano Festival;Dano Festival;Dano-Festival;Festival Dano;Festival Dano;Fête de Dano;Fête de Dano;Festival Dano;Danofestival;端午节;端午節;端午節;단오;Праздник Тано
RegionDragonBoatFestivalCh;Dragon Boat Festival;Dragon Boat Festival;Drachenbootfest;Festival del bote del dragón;Festival del bote del dragón;Fête des bateaux-dragons;Fête des bateaux-dragons;Festa delle barche drago;Drakenbotenfestival;端午节;端午節;端午節;단오;Праздник драконьих лодок
RegionMarineDay;Marine Day;Marine Day;Tag des Meeres;Día del Mar;Día del Mar;Jour de la mer;Jour de la mer;Giorno del mare;Oceaandag;海之日;海之日;海の日;바다의 날;День моря
RegionParisFestival;Le 14 juillet;Le 14 juillet;14. Juli;14 de julio;14 de julio;Le 14 juillet;Le 14 juillet;Le 14 juillet;14 juillet;巴士底日;巴士底日;パリ祭;프랑스 혁명기념일;14 Июля
RegionJuneBride;Wedding Season;Wedding Season;Hochzeitssaison;Temporada de bodas;Temporada de bodas;Saison des mariages;Saison des mariages;Stagione dei matrimoni;Trouwseizoen;六月新娘;六月新娘;ジューンブライド;6월의 신부;Свадебный сезон
RegionJuneBride2;Wedding Season;Wedding Season;Hochzeitssaison;Temporada de bodas;Temporada de bodas;Saison des mariages;Saison des mariages;Stagione dei matrimoni;Trouwseizoen;六月新娘;六月新娘;ジューンブライド;6월의 신부;Свадебный сезон
